"","날짜","종가","전일비","시가","고가","저가","거래량"
"1","","",NA,"","","",""
"2","2018.07.11","15,850","550","16,150","16,250","15,600","166,692"
"3","2018.07.10","16,400","100","16,600","16,600","16,150","123,460"
"4","2018.07.09","16,500","200","15,950","16,500","15,950","124,168"
"5","2018.07.06","16,300","300","16,600","16,800","15,400","513,474"
"6","2018.07.05","16,600","700","17,050","17,300","16,450","201,430"
"7","","",NA,"","","",""
"8","","",NA,"","","",""
"9","","",NA,"","","",""
"10","2018.07.04","17,300","300","16,800","17,450","16,650","116,620"
"11","2018.07.03","17,000","900","17,900","17,950","16,750","287,939"
"12","2018.07.02","17,900","0","18,000","18,450","17,550","372,610"
"13","2018.06.29","17,900","200","17,700","17,900","17,050","356,282"
"14","2018.06.28","17,700","300","17,900","17,950","17,350","367,323"
"15","","",NA,"","","",""
"16","","","","","","",""
"17","2018.06.27","18,000","1,400","17,000","18,400","16,800","1,478,777"
"18","2018.06.26","16,600","900","15,500","16,700","15,450","366,907"
"19","2018.06.25","15,700","600","15,300","15,850","15,200","169,192"
"20","2018.06.22","15,100","600","15,700","15,750","14,800","272,394"
"21","2018.06.21","15,700","250","16,050","16,300","15,700","154,315"
"22","","","","","","",""
"23","","","","","","",""
"24","","","","","","",""
"25","2018.06.20","15,950","450","15,350","16,100","15,350","118,396"
"26","2018.06.19","15,500","150","15,700","15,950","15,350","127,432"
"27","2018.06.18","15,650","800","16,450","16,550","15,450","191,850"
"28","2018.06.15","16,450","150","16,300","16,600","16,050","195,804"
"29","2018.06.14","16,300","900","15,400","16,450","15,350","449,009"
"30","","","","","","",""
"31","","",NA,"","","",""
"32","2018.06.12","15,400","300","15,900","15,900","15,300","168,859"
"33","2018.06.11","15,700","450","15,250","15,850","15,250","133,167"
"34","2018.06.08","15,250","400","15,750","15,850","15,200","207,934"
"35","2018.06.07","15,650","350","16,200","16,250","15,650","178,895"
"36","2018.06.05","16,000","250","15,750","16,000","15,550","151,469"
"37","","",NA,"","","",""
"38","","",NA,"","","",""
"39","","",NA,"","","",""
"40","2018.06.04","15,750","400","16,350","16,350","15,750","150,098"
"41","2018.06.01","16,150","150","16,000","16,350","15,950","103,308"
"42","2018.05.31","16,000","200","16,300","16,400","15,700","114,633"
"43","2018.05.30","16,200","700","16,800","16,800","15,500","529,827"
"44","2018.05.29","16,900","450","16,300","17,200","16,300","324,325"
"45","","",NA,"","","",""
"46","","",NA,"","","",""
"47","2018.05.28","16,450","150","16,200","16,800","16,000","193,045"
"48","2018.05.25","16,300","700","16,700","16,950","16,050","436,486"
"49","2018.05.24","17,000","100","17,150","17,200","16,700","266,603"
"50","2018.05.23","17,100","400","17,650","17,800","16,900","407,531"
"51","2018.05.21","17,500","850","18,500","18,500","17,400","455,743"
"52","","",NA,"","","",""
"53","","",NA,"","","",""
"54","","",NA,"","","",""
"55","2018.05.18","18,350","600","17,750","18,350","17,400","256,889"
"56","2018.05.17","17,750","550","18,650","18,650","17,400","493,810"
"57","2018.05.16","18,300","100","18,700","19,150","18,250","317,861"
"58","2018.05.15","18,400","450","19,000","19,800","18,100","523,811"
"59","2018.05.14","18,850","300","19,300","19,300","18,050","334,921"
"60","","",NA,"","","",""
"61","","",NA,"","","",""
"62","2018.05.11","19,150","300","18,950","19,350","18,750","293,679"
"63","2018.05.10","18,850","100","19,150","19,300","18,350","258,900"
"64","2018.05.09","18,950","550","19,400","19,750","18,800","320,996"
"65","2018.05.08","19,500","300","19,950","20,600","19,250","346,027"
"66","2018.05.04","19,800","600","20,100","20,450","19,350","291,565"
"67","","",NA,"","","",""
"68","","",NA,"","","",""
"69","","",NA,"","","",""
"70","2018.05.03","20,400","950","19,550","20,950","19,500","624,046"
"71","2018.05.02","19,450","100","19,500","19,950","19,300","155,535"
"72","2018.04.30","19,550","300","19,850","20,100","19,350","161,602"
"73","2018.04.27","19,850","450","20,450","20,450","19,550","261,976"
"74","2018.04.26","20,300","450","20,000","20,500","19,550","399,885"
"75","","",NA,"","","",""
"76","","","","","","",""
"77","2018.04.25","19,850","300","19,500","19,900","19,250","339,761"
"78","2018.04.24","19,550","1,300","18,400","19,850","18,350","584,366"
"79","2018.04.23","18,250","950","19,200","19,350","18,100","376,586"
"80","2018.04.20","19,200","450","19,500","20,000","19,100","333,943"
"81","2018.04.19","19,650","450","19,450","20,100","19,050","501,603"
"82","","","","","","",""
"83","","","","","","",""
"84","","","","","","",""
"85","2018.04.18","19,200","100","19,100","19,450","18,550","412,660"
"86","2018.04.17","19,100","300","18,900","19,350","18,400","386,875"
"87","2018.04.16","18,800","50","19,150","19,500","18,600","379,036"
"88","2018.04.13","18,750","1,500","17,300","18,800","17,100","780,353"
"89","2018.04.12","17,250","650","17,850","18,200","17,100","337,411"
"90","","","","","","",""
"91","","","","","","",""
"92","2018.04.11","17,900","200","18,350","18,550","17,700","363,183"
"93","2018.04.10","18,100","200","17,750","18,150","16,800","492,418"
"94","2018.04.09","17,900","500","18,400","18,400","17,600","243,674"
"95","2018.04.06","18,400","750","18,000","18,700","17,850","476,998"
"96","2018.04.05","17,650","150","17,350","17,850","17,100","323,468"
"97","","","","","","",""
"98","","","","","","",""
"99","","","","","","",""
"100","2018.04.04","17,500","750","18,250","18,350","17,450","438,746"
"101","2018.04.03","18,250","100","18,150","18,900","17,650","390,222"
"102","2018.04.02","18,150","1,250","19,600","19,700","18,100","766,318"
"103","2018.03.30","19,400","600","20,200","20,350","19,200","504,271"
"104","2018.03.29","20,000","100","20,450","20,450","19,650","516,784"
"105","","","","","","",""
"106","","",NA,"","","",""
"107","2018.03.28","19,900","100","19,550","20,400","19,500","600,300"
"108","2018.03.27","19,800","100","20,000","20,200","19,400","761,862"
"109","2018.03.26","19,700","300","20,500","21,800","19,400","3,002,851"
"110","2018.03.23","19,400","250","18,800","20,600","18,750","1,256,763"
"111","2018.03.22","19,150","400","18,850","19,550","18,650","438,761"
"112","","",NA,"","","",""
"113","","",NA,"","","",""
"114","","",NA,"","","",""
"115","2018.03.21","18,750","250","19,000","19,200","18,600","282,291"
"116","2018.03.20","19,000","200","18,400","19,050","18,400","301,393"
"117","2018.03.19","18,800","400","19,200","19,550","18,700","348,257"
"118","2018.03.16","19,200","650","20,000","20,050","18,950","370,511"
"119","2018.03.15","19,850","450","19,300","19,850","18,550","506,730"
"120","","",NA,"","","",""
"121","","","","","","",""
